"CD_FOR","NM_RAZAO","NM_FANTASIA","TP_FOR","ST_SITUACAO","TP_FORNECIMENTO","NR_CGC_CPF","NM_USUINC","DT_USUINC","NR_INSC_EST","DT_ULT_COMPRA","VL_ULT_COMPRA","VL_ACUM_COMPRA","OB_FOR","NM_USUALT","DT_USUALT","DS_EMAIL_NFE","NR_INSC_MUNICIPAL","CD_TP_ATIVIDADE"
4188,MVJR CONFECÇÕES LTDA,MVJR,J,A,M,10310106000145,DAVID,2012-04-03 11:12:22,"78188273",2014-07-16 00:00:00,78,3385,,DAVID,2014-05-27 10:02:21,,,
4189,LJ COM E FABR. DE PEÇAS E MAQUINAS ME,LJ,J,A,M,7233037000109,DAVID,2012-04-03 14:17:33,"669540853111",2012-04-03 00:00:00,927.2,927.2,,DAVID,2012-04-03 14:20:32,,,
4191,TRANSPORTADORA RODACEL LTDA,RODOCEL,J,A,T,40537995000149,DAVID,2012-04-09 10:11:33,"029808490",,,,,CANTONIO,2013-10-16 11:01:28,celmarodacel@hotmail.com,,
4192,COMPOJET BIOMEDICA LTDA,COMPOJET,J,A,M,1081026000174,DAVID,2012-04-12 15:05:21,"43702347",,,,,,,,,
4195,TIMAC AGRO INDUSTRIA E COMERCIO DE FERTILIZANTES LTDA,ROULLIER,J,A,M,2329713002253,DAVID,2012-04-16 15:11:28,"78285149",,,-2584,,,,MARCUS.SILVA@TIMACAGRO.COM.BR,,
4201,EVIDENCE INDUSTRIA E COMERCIO DE COSMETICOS LTDA,EVIDENCE,J,A,M,9191926000186,DAVID,2012-04-19 09:57:05,"75671819",,,,,,,evidence_cosmeticos@yahoo.com.br,,
4202,MARSCHALL IND. COM IMP E EXP LTDA,G LIGHT,J,A,M,2130525000177,DAVID,2012-04-19 10:09:29,"47281819",,,,,,,,,
4170,NF-E EMITIDA EM AMBIENTE DE HOMOLOGACAO - SEM VALOR FISCAL,NF-E EMITIDA EM AMBIENTE DE HOMOLOGACAO,J,A,M,18727876000108,DBSFLEXO,2011-12-30 09:31:44,ISENTO,,,-200,,,,,,
4179,PLANO DE ASSISTENCIA ODONTOLOGICA FAUCHARD LTDA. - ME,ODONTO S.A,J,A,M,10767219000174,MARIO,2012-03-20 15:27:25,ISENTO,,,,,,,financeiro@odontosa.com.br,"31465000169",
4180,EDSON LUIZ RIBEIRO SANTOS,EDSON LUIZ RIBEIRO SANTOS,F,A,M,36806943500,MARIO,2012-03-20 15:32:09,ISENTO,,,,,,,,"1000984",
